,team,pay_type,question,points,answer,answer_mod,answer_truth,correct,score
115,The Ed Sheeran Fan Club,Paying,03. Jon Snow,3.0,Lives,Lives,Lives,True,3.0
114,The House of Lesbian Poets,Paying,03. Jon Snow,3.0,Lives,Lives,Lives,True,3.0
123,Tormund's Member Rewards Club,Paying,03. Jon Snow,3.0,Lives,Lives,Lives,True,3.0
102,Xander's Dragons,Paying,03. Jon Snow,3.0,Dies,Dies,Lives,False,0.0
106,"Ygritte in the Streets, Khaleesi in the Sheets",Paying,03. Jon Snow,3.0,Dies,Dies,Lives,False,0.0
134,A Girl Has No Team Name,Paying,04. Sansa Stark,3.0,Dies,Dies,Lives,False,0.0
151,A Team Has No Name,Paying,04. Sansa Stark,3.0,Dies,Dies,Lives,False,0.0
136,A Wizard of Cersei,Paying,04. Sansa Stark,3.0,Lives,Lives,Lives,True,3.0
160,Aaron on the Throne,Paying,04. Sansa Stark,3.0,Dies,Dies,Lives,False,0.0
144,All Bronn and no brains,Paying,04. Sansa Stark,3.0,Lives,Lives,Lives,True,3.0
165,Arya Dead Yet?,Paying,04. Sansa Stark,3.0,Dies,Dies,Lives,False,0.0
154,"Arya Ready Kids? (Aye, Aye, Captain of the Guards!)",Paying,04. Sansa Stark,3.0,Lives,Lives,Lives,True,3.0
161,"Breaker of Fasts, Mother of Brunches",Paying,04. Sansa Stark,3.0,Lives,Lives,Lives,True,3.0
132,Bri-Anne,Paying,04. Sansa Stark,3.0,Dies,Dies,Lives,False,0.0
155,Bri-Enne Of Green Gables,Paying,04. Sansa Stark,3.0,Lives,Lives,Lives,True,3.0
168,Bronn Swanson,Paying,04. Sansa Stark,3.0,Lives,Lives,Lives,True,3.0
174,Bronn: The Decision,Paying,04. Sansa Stark,3.0,Dies,Dies,Lives,False,0.0
148,"Carolyn of House Tambini, the First of Her Name, Queen of Kings, Burner of Princesses  ",Paying,04. Sansa Stark,3.0,Lives,Lives,Lives,True,3.0
143,Dany Snow,Paying,04. Sansa Stark,3.0,Lives,Lives,Lives,True,3.0
153,Davis the Bastard of Voltron,Paying,04. Sansa Stark,3.0,Lives,Lives,Lives,True,3.0
162,Enjol-Raki ,Paying,04. Sansa Stark,3.0,Dies,Dies,Lives,False,0.0
137,Flea Bottom Feeders,Paying,04. Sansa Stark,3.0,Lives,Lives,Lives,True,3.0
147,House Magnus,Free,04. Sansa Stark,3.0,Lives,Lives,Lives,True,3.0
163,Just Here for CleganeBowl,Paying,04. Sansa Stark,3.0,Dies,Dies,Lives,False,0.0
145,"Lacy of House Garrison, Breaker of Games, Protector of Spoilers, King of West Hollywood, Father of Brad",Paying,04. Sansa Stark,3.0,Lives,Lives,Lives,True,3.0
142,Lady Elizabeth of House Wray,Free,04. Sansa Stark,3.0,Lives,Lives,Lives,True,3.0
172,Lady Kristi of the House of Brooks,Paying,04. Sansa Stark,3.0,Lives,Lives,Lives,True,3.0
164,Lady Stoneheart,Paying,04. Sansa Stark,3.0,Dies,Dies,Lives,False,0.0
156,Lil' Jon Snow White,Paying,04. Sansa Stark,3.0,Lives,Lives,Lives,True,3.0
140,Little Fingers’ Little Finger,Paying,04. Sansa Stark,3.0,Lives,Lives,Lives,True,3.0
175,Lord Ben-ish,Paying,04. Sansa Stark,3.0,Lives,Lives,Lives,True,3.0
169,Matton Of The Hounds,Paying,04. Sansa Stark,3.0,Lives,Lives,Lives,True,3.0
173,Mountain Mellon Crushers,Paying,04. Sansa Stark,3.0,Lives,Lives,Lives,True,3.0
133,No Ygrittes,Paying,04. Sansa Stark,3.0,Lives,Lives,Lives,True,3.0
166,"S'now way, Jose!",Paying,04. Sansa Stark,3.0,Lives,Lives,Lives,True,3.0
138,Safari Ary,Paying,04. Sansa Stark,3.0,Lives,Lives,Lives,True,3.0
139,Sand Snake Realness,Paying,04. Sansa Stark,3.0,Lives,Lives,Lives,True,3.0
